粉尘名称：
粉尘粒径：
粉尘含水量：

初始含氧量：
初始压力：
测试浓度：
点火能量：
反应器体积：0.000Lt1Pmax=0.628149,t=0.274700S(dp/dt)max=698.164321/S  kst=698.164321.m/St2Pmax=0.631058,t=0.274700S(dp/dt)max=815.362646/S  kst=815.362646.m/St3Pmax=0.636721,t=0.324900S(dp/dt)max=947.061579/S  kst=947.061579.m/S时间	t1	t2	t3	t4
D:H:M:S				
01:08:00:00	-0.078335	-0.081948	-0.080681	-0.084714
01:08:00:00	-0.083614	-0.082110	-0.081439	-0.083986
01:08:00:00	-0.078128	-0.079079	-0.079582	-0.076879
01:08:00:00	-0.082659	-0.075174	-0.080136	-0.078621
01:08:00:00	-0.084960	-0.084162	-0.076663	-0.078565
01:08:00:00	-0.076459	-0.083404	-0.079402	-0.077689
01:08:00:00	-0.082848	-0.081599	-0.083392	-0.075774
01:08:00:00	-0.077588	-0.077694	-0.080322	-0.081073
01:08:00:00	-0.083466	-0.081707	-0.080527	-0.081136
01:08:00:00	-0.076624	-0.081444	-0.080280	-0.082234
01:08:00:00	-0.082439	-0.080989	-0.080134	-0.083696
01:08:00:00	-0.084366	-0.082954	-0.076623	-0.080771
01:08:00:00	-0.079343	-0.079653	-0.078514	-0.084753
01:08:00:00	-0.084016	-0.083357	-0.078018	-0.082275
01:08:00:00	-0.082713	-0.077933	-0.084023	-0.076052
01:08:00:00	-0.076348	-0.083963	-0.084286	-0.084112
01:08:00:00	-0.078656	-0.083261	-0.079786	-0.080543
01:08:00:00	-0.081695	-0.082816	-0.081860	-0.082644
01:08:00:00	-0.076993	-0.077941	-0.079309	-0.079453
01:08:00:00	-0.082974	-0.079084	-0.083996	-0.078609
01:08:00:00	-0.077204	-0.083975	-0.082760	-0.078774
01:08:00:00	-0.079184	-0.076698	-0.079930	-0.079486
01:08:00:00	-0.076435	-0.084692	-0.076132	-0.076949
01:08:00:00	-0.078763	-0.081141	-0.080319	-0.075557
01:08:00:00	-0.078939	-0.080219	-0.084180	-0.079410
01:08:00:00	-0.078506	-0.083984	-0.076120	-0.075551
01:08:00:00	-0.078533	-0.079765	-0.079521	-0.081572
01:08:00:00	-0.078749	-0.080331	-0.084647	-0.075633
01:08:00:00	-0.083881	-0.084272	-0.079663	-0.081058
01:08:00:00	-0.081695	-0.080266	-0.083393	-0.079481
01:08:00:00	-0.082337	-0.081902	-0.084246	-0.081902
01:08:00:00	-0.081464	-0.080251	-0.076418	-0.084328
01:08:00:00	-0.080770	-0.077789	-0.079629	-0.082836
01:08:00:00	-0.079616	-0.079602	-0.077327	-0.081236
01:08:00:00	-0.077995	-0.082247	-0.079895	-0.077478
01:08:00:00	-0.080597	-0.083326	-0.078966	-0.080962
01:08:00:00	-0.082137	-0.079057	-0.082685	-0.081505
01:08:00:00	-0.077234	-0.080782	-0.082850	-0.077414
01:08:00:00	-0.078147	-0.077743	-0.080302	-0.078491
01:08:00:00	-0.084203	-0.082136	-0.079774	-0.083479
01:08:00:00	-0.083603	-0.079159	-0.076901	-0.081762
01:08:00:00	-0.078462	-0.080742	-0.078197	-0.077356
01:08:00:00	-0.083401	-0.082829	-0.081517	-0.079225
01:08:00:00	-0.078542	-0.077705	-0.077764	-0.083828
01:08:00:00	-0.083955	-0.078425	-0.078613	-0.077976
01:08:00:00	-0.075247	-0.079559	-0.076699	-0.084185
01:08:00:00	-0.078454	-0.079684	-0.082770	-0.078664
01:08:00:00	-0.075714	-0.082393	-0.077274	-0.084175
01:08:00:00	-0.078646	-0.075199	-0.075467	-0.078002
01:08:00:00	-0.077538	-0.079461	-0.080600	-0.076842
01:08:00:00	-0.078220	-0.084309	-0.076901	-0.077755
01:08:00:00	-0.079407	-0.076782	-0.075647	-0.076430
01:08:00:00	-0.076993	-0.083298	-0.075576	-0.079546
01:08:00:00	-0.080945	-0.079535	-0.076083	-0.079675
01:08:00:00	-0.080173	-0.082860	-0.083982	-0.078870
01:08:00:00	-0.080678	-0.076664	-0.081471	-0.077782
01:08:00:00	-0.078694	-0.078098	-0.083264	-0.080748
01:08:00:00	-0.079646	-0.081212	-0.076269	-0.076083
01:08:00:00	-0.080648	-0.081116	-0.078136	-0.077211
01:08:00:00	-0.076108	-0.084731	-0.083418	-0.079208
01:08:00:00	-0.078241	-0.078216	-0.078372	-0.080201
01:08:00:00	-0.076547	-0.083913	-0.083616	-0.080485
01:08:00:00	-0.076438	-0.082303	-0.077744	-0.084744
01:08:00:00	-0.081629	-0.078277	-0.076333	-0.078218
01:08:00:00	-0.079434	-0.075618	-0.082543	-0.078209
01:08:00:00	-0.074979	-0.080979	-0.077238	-0.079776
01:08:00:00	-0.079612	-0.083594	-0.084371	-0.081655
01:08:00:00	-0.078485	-0.083046	-0.075624	-0.083614
01:08:00:00	-0.081296	-0.081674	-0.077038	-0.082707
01:08:00:00	-0.081908	-0.081370	-0.079176	-0.075012
01:08:00:00	-0.079922	-0.084448	-0.078960	-0.076311
01:08:00:00	-0.080814	-0.075871	-0.083451	-0.082035
01:08:00:00	-0.076207	-0.084379	-0.083873	-0.080215
01:08:00:00	-0.078337	-0.083596	-0.083987	-0.080541
01:08:00:00	-0.077656	-0.079343	-0.076037	-0.076854
01:08:00:00	-0.084355	-0.074762	-0.078431	-0.077297
01:08:00:00	-0.080534	-0.075838	-0.077393	-0.084637
01:08:00:00	-0.077553	-0.075607	-0.080343	-0.076634
01:08:00:00	-0.079852	-0.080720	-0.076782	-0.083604
